LTPT	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	Yes	No
Coprococcus	10	2	0	89	0	1	3	0	0	0	80	0	4	11	0	0	0	0	0	0	4	328	0	4	0	0	17	23	1	2	0	9	1	0	79	71	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	46	22	0	3	3	2	1	0	0	0	3	1
Desulfovibrio	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	27	2	0	0	0	0	2	1	1	2	0	1	0	0	0	0	4	0	0	0	0	0	0	0	2	13	8	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0
Dialister	89	0	0	335	0	35	0	0	0	2	0	0	1	173	0	0	0	44	0	0	28	40	0	23	2	0	21	102	31	42	3	0	3	136	3	279	1	140	0	1	1	4	0	0	0	1	27	1	0	2	0	10	0	2	4	0	56	0	72	0	0	0	1
Dorea	22	10	22	0	21	35	0	0	0	0	1	0	1	9	0	0	0	0	79	0	24	61	0	122	0	0	10	62	0	83	0	106	0	0	75	0	0	8	0	2	0	19	0	0	0	0	0	0	0	0	0	135	47	0	0	0	19	0	0	0	51	94	71
Drancourtella	47	14	12	38	26	0	21	72	53	91	53	155	12	31	0	21	25	142	7	16	31	35	0	85	61	76	25	7	40	1	22	7	44	47	6	34	294	79	113	111	47	19	0	22	7	119	20	69	71	50	29	6	1	65	75	59	31	1	62	67	73	2	22
Eggerthella	4	7	4	3	6	0	5	5	20	11	24	8	5	3	15	2	4	13	8	5	9	0	6	5	3	7	1	0	34	6	11	0	2	2	2	0	10	21	14	9	5	5	7	7	1	9	0	12	21	6	2	1	0	0	3	2	4	6	3	15	5	1	3
Eisenbergiella	7	2	4	1	0	0	0	0	1	16	2	0	2	3	0	7	0	0	0	7	1	1	8	0	2	2	0	0	0	0	16	2	0	3	0	0	12	17	3	8	0	6	4	0	1	9	11	9	0	9	0	2	0	1	2	2	1	0	1	5	2	0	0
Emergencia	4	0	0	2	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0
Enterococcus	0	0	0	0	3	0	0	0	0	11	19	3	1	0	0	0	1	0	0	0	10	0	104	2	6	0	0	0	1	0	2	0	15	3	0	8	6	0	3	6	5	0	0	4	0	0	5	6	0	4	7	0	0	9	0	1	0	19	0	0	0	32	0
Erysipelatoclostridium	12	54	19	7	9	65	21	47	54	62	50	173	102	93	33	32	10	149	29	53	42	82	326	50	26	79	32	7	72	14	57	30	66	45	16	53	101	65	42	117	34	86	86	45	26	67	29	21	94	99	50	10	36	10	24	190	289	20	34	177	34	20	18
Escherichia	37	53	5	1	5	2	0	3	0	0	22	2	5	0	0	0	1	16	7	0	0	0	11	84	5	37	98	0	0	0	5	2	30	0	6	0	0	1	21	49	87	1	16	3	14	0	4	13	7	15	11	0	0	4	2	17	0	133	1	21	4	21	10
Eubacterium	3	7	18	59	0	10	45	0	8	0	0	0	1	25	0	1	11	1	0	41	1	113	21	2	8	0	8	1	0	9	8	75	5	0	7	44	2	35	8	1	2	35	0	0	4	9	0	1	0	0	0	42	22	0	19	37	37	0	41	37	4	2	21
Faecalibacterium	277	47	613	140	118	488	191	291	8	238	213	1	378	356	17	14	368	19	31	391	134	106	4	390	192	611	282	182	98	151	279	172	147	243	69	84	52	27	58	11	383	400	427	14	236	15	384	209	9	993	0	386	393	256	221	129	171	3	123	153	0	56	41
Faecalicatena	113	167	2	73	83	31	31	0	45	2	104	2	87	139	61	20	5	7	9	24	68	25	7	36	4	4	162	58	7	55	1	42	21	175	10	63	72	9	8	18	0	64	0	1	56	1	14	19	24	1	12	4	28	0	18	64	42	15	4	61	8	136	82
Faecalimonas	1	0	12	0	26	1	1	0	0	11	0	0	83	0	0	0	10	0	0	2	0	0	0	0	0	2	0	144	0	0	18	0	0	1	0	1	0	7	0	1	0	38	83	0	2	0	107	0	6	0	0	0	0	0	1	0	0	233	0	0	0	1	0
Flavonifractor	7	1	1	7	1	1	1	6	4	1	9	2	2	0	0	4	0	1	3	3	2	3	8	3	0	6	0	1	6	3	12	2	0	1	0	7	1	11	3	15	1	5	3	0	1	9	14	15	2	7	0	10	1	2	10	6	1	0	6	3	3	1	6
Fournierella	1	0	0	57	0	39	9	0	77	0	9	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	4	0	4	0	0	0	0	1	103	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	2	0	0	8
Frisingicoccus	2	11	0	1	1	0	1	0	3	0	0	0	2	0	0	8	0	0	0	7	3	0	0	0	0	0	3	0	0	1	0	2	1	0	0	0	0	0	0	0	0	4	0	0	2	5	0	0	1	0	0	0	2	0	1	0	3	0	3	0	27	2	0
Fusicatenibacter	92	47	423	214	360	79	388	518	158	1	248	0	407	103	655	537	336	4	460	1	574	56	0	434	401	485	353	382	504	202	130	267	32	403	323	249	635	0	363	133	0	542	2	151	436	2	0	119	125	16	0	164	112	414	543	328	292	509	233	250	1	492	925
Fusobacterium	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	3	0	1	0	14	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
G_undefined_Clostridiales Family XIII. Incertae Sedis	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
G_undefined_Lachnospiraceae	6	2	1	175	420	25	244	0	106	0	0	0	0	107	0	1	586	0	1	476	182	2	0	77	50	0	37	0	4	426	8	52	1	0	253	125	0	0	0	0	0	95	1	246	102	30	0	11	113	0	0	64	701	315	0	596	504	457	74	431	0	31	98
G_undefined_Ruminococcaceae	48	0	21	6	0	7	0	0	4	0	1	0	7	1	0	13	0	0	0	33	0	3	0	0	0	8	0	1	0	38	0	1	0	18	1	3	22	3	8	3	0	0	0	0	0	0	1	1	0	0	0	4	2	0	3	2	5	0	2	1	4	0	3
Gemella	0	4	0	0	1	0	0	0	2	1	1	0	0	0	0	2	0	1	4	0	1	0	0	1	0	1	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	2	1	0	0	0	0	2	0	4	0	1	0	0	0
Granulicatella	0	6	1	0	10	0	0	2	0	2	0	1	2	0	1	4	0	1	2	0	5	2	2	0	0	3	2	4	0	1	1	2	0	1	2	0	0	0	0	3	0	2	4	3	3	1	0	0	2	3	3	0	2	2	2	1	0	0	2	2	0	2	0
Haemophilus	0	0	7	1	0	0	1	5	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
