LTPT	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	Yes	Yes	No
Clostridium	1	0	4	0	0	4	1	45	43	11	0	0	0	7	1	36	5	2	13	0	0	2	27	0	1	51	1	4	12	21	70	4	5	0	0	3	2	1	0	0	0	0	11	67	10	8	3	86	1	0	0	2	2	1	5	12	1	5	3	0	0	5	22	1	0
Collinsella	27	0	0	0	0	138	102	160	122	71	0	0	35	155	0	0	0	0	0	0	0	0	198	0	0	0	399	0	0	80	0	98	0	298	0	9	72	501	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	803	259	0	152	0	0	96	0	0	116	231
Coprobacillus	1	0	2	1	0	1	0	0	6	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	2	0	0	0	2	11	5	1	5	0	0	0	1	0	0	0	0	4	0	8	3	1	2	0	0	0	1	0	0	1	2	0	0
Coprococcus	0	0	1	0	5	15	0	0	0	1	0	0	1	0	0	0	0	0	0	1	4	3	225	0	0	0	0	0	0	16	0	0	0	1	0	0	46	1	0	8	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	8	1	0	0	0
Corynebacterium	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	2	1	1	0
Desulfovibrio	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	22	0	0	0	3	0	0	0	0	0	3	0	0	0	1	3	0	0	3	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	3	4	11	4	0	0	0	0	0
Dialister	0	36	0	89	1	57	0	0	0	0	3	38	0	51	0	0	0	0	5	69	0	0	37	16	19	0	13	0	23	128	70	79	0	0	0	8	46	159	0	9	5	0	0	0	0	0	105	60	0	30	1	0	0	0	5	0	9	83	0	5	4	0	0	0	0
Dorea	0	16	22	0	1	62	0	0	0	0	0	0	38	7	0	0	0	0	0	0	27	0	83	0	26	0	0	0	0	63	0	65	0	0	8	0	23	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	84	0
Drancourtella	33	21	15	79	32	2	76	20	21	76	21	58	17	21	0	19	27	60	27	7	9	43	17	34	7	69	92	33	20	1	0	29	4	44	24	17	32	75	51	51	9	8	30	21	16	108	44	28	19	16	0	197	81	42	164	0	82	63	145	42	21	117	52	372	69
Eggerthella	4	5	13	5	2	0	13	2	7	3	2	18	7	10	10	8	8	15	10	14	5	10	0	4	15	20	11	14	11	3	24	4	9	7	16	16	4	8	21	24	11	8	13	26	9	20	14	19	3	34	12	45	8	33	9	2	14	4	26	9	11	24	79	7	6
